dateAdded,term,translation
2024-05-21,hello,"مرحبا,أهلاً,تحية لك في الصباح,أتمنى لك يوماً سعيداً,أهلاً وسهلاً بك في أي وقت"
2024-06-01,book,"كتاب,مجلد,دفتر ملاحظات,هذا كتاب مفيد للقراءة,أحب قراءة الكتب في المكتبة"
2024-04-15,water,"ماء,مياه صافية,سائل الحياة,اشرب الماء للحفاظ على صحتك,الماء ضروري للجسم"
2024-05-30,food,"طعام,مأكولات,غذاء صحي,تناول الطعام مع العائلة,الطعام يمنحنا الطاقة"
2024-06-09,friend,"صديق,رفيق,زميل في العمل,الصديق وقت الضيق,أحب قضاء الوقت مع أصدقائي"
2024-05-12,school,"مدرسة,معهد تعليمي,كلية العلوم,أذهب إلى المدرسة كل صباح,المدرسة مكان للتعلم"
2024-06-03,car,"سيارة,عربة,مركبة حديثة,السيارة وسيلة نقل سريعة,أحب قيادة السيارة في المدينة"
2024-05-25,house,"منزل,بيت,دار العائلة,المنزل هو مكان الراحة,أعيش في منزل جميل"
2024-04-28,cat,"قطة,هر,سنور أليف,القطة تحب اللعب,لدي قطة صغيرة في المنزل"
2024-06-07,dog,"كلب,جرو صغير,سِمع,الكلب وفي لصاحبه,أحب المشي مع كلبي في الحديقة"
2024-05-18,tree,"شجرة,غصن طويل,نبتة خضراء,الشجرة تعطي الظل,هناك شجرة كبيرة أمام المنزل"
2024-06-02,sun,"شمس,قرص الشمس,ضوء الشمس الساطع,الشمس تشرق كل صباح,أحب الجلوس تحت أشعة الشمس"
2024-05-29,moon,"قمر,هلال,بدر مكتمل,القمر يضيء الليل,أحب النظر إلى القمر في السماء"
2024-04-22,star,"نجمة,كوكب بعيد,نجم لامع في السماء,النجوم تزين الليل,هناك آلاف النجوم في الفضاء"
2024-06-05,flower,"زهرة,وردة جميلة,نبتة مزهرة,الزهور تملأ الحديقة,أحب رائحة الزهور في الربيع"
2024-05-14,door,"باب,مدخل رئيسي,بوابة المنزل,افتح الباب من فضلك,الباب مصنوع من الخشب"
2024-06-08,window,"نافذة,شباك واسع,فتحة للتهوية,أنظر من النافذة كل صباح,النافذة تطل على الحديقة"
2024-05-27,phone,"هاتف,جوال حديث,موبايل ذكي,اتصل بي على الهاتف,الهاتف وسيلة للتواصل"
2024-06-04,computer,"حاسوب,كمبيوتر مكتبي,جهاز إلكتروني متطور,أستخدم الحاسوب للعمل,الحاسوب يساعد في الدراسة"
2024-05-23,city,"مدينة,بلدة صغيرة,عاصمة كبيرة,المدينة مزدحمة بالسكان,أحب زيارة المدن الجديدة"
2024-04-30,hello,"你好,您好,哈喽,早上好，祝你一天愉快,欢迎来到这里"
2024-06-06,book,"书,图书,书籍,这是一本有趣的书,我喜欢在图书馆读书"
2024-05-19,water,"水,饮用水,清水,多喝水对健康有益,水是生命之源"
2024-06-10,food,"食物,食品,饭菜,和家人一起吃饭很开心,食物给我们能量"
2024-05-16,friend,"朋友,好友,伙伴,朋友在困难时帮助你,我喜欢和朋友一起玩"
2024-06-11,school,"学校,学院,学堂,每天早上去学校,学校是学习的地方"
2024-05-22,car,"汽车,车,轿车,汽车是常用的交通工具,我喜欢在城市里开车"
2024-06-12,house,"房子,住宅,家,家是温暖的地方,我住在一个漂亮的房子里"
2024-05-24,cat,"猫,小猫,猫咪,猫喜欢玩耍,我家里有一只小猫"
2024-06-13,dog,"狗,小狗,犬,狗是人类的好朋友,我喜欢和狗一起散步"
2024-05-20,tree,"树,大树,树木,树给我们氧气,院子里有一棵大树"
2024-06-14,sun,"太阳,日头,阳光,太阳每天升起,我喜欢晒太阳"
2024-05-26,moon,"月亮,明月,新月,月亮照亮夜晚,我喜欢看夜空中的月亮"
2024-06-15,star,"星星,明星,星体,夜晚有很多星星,星星在天空中闪烁"
2024-05-28,flower,"花,鲜花,花朵,花园里有很多花,我喜欢春天的花香"
2024-06-16,door,"门,大门,门口,请打开门,门是房子的入口"
2024-05-31,window,"窗户,窗口,玻璃窗,我喜欢从窗户看风景,窗户让房间更明亮"
2024-06-17,phone,"电话,手机,座机,请给我打电话,电话是沟通的工具"
2024-06-18,computer,"电脑,计算机,主机,我用电脑工作,电脑让学习更方便"
2024-05-17,city,"城市,都市,城镇,城市里有很多人,我喜欢探索新的城市"
